1622.632,1278.246,96.375
1621.225,1276.826,96.313
1619.818,1275.406,96.246
1618.411,1273.987,96.174
1617.003,1272.568,96.097
1615.596,1271.149,96.016
1614.189,1269.73,95.932
1612.782,1268.311,95.846
1611.376,1266.892,95.757
1609.969,1265.473,95.666
1608.563,1264.054,95.574
1607.157,1262.635,95.481
1605.75,1261.216,95.387
1604.344,1259.797,95.292
1602.938,1258.378,95.197
1601.532,1256.959,95.1
1600.126,1255.54,95.004
1598.719,1254.121,94.907
1597.313,1252.702,94.811
1595.907,1251.283,94.714
1594.501,1249.864,94.618
1593.095,1248.445,94.521
1591.689,1247.026,94.425
1590.283,1245.607,94.33
1588.877,1244.188,94.234
1587.471,1242.769,94.139
1586.065,1241.349,94.045
1584.659,1239.93,93.951
1583.253,1238.511,93.858
1581.847,1237.091,93.766
1580.441,1235.672,93.674
1579.035,1234.252,93.583
1577.629,1232.833,93.493
1576.223,1231.414,93.404
1574.817,1229.994,93.316
1573.41,1228.575,93.228
1572.004,1227.155,93.142
1570.598,1225.735,93.056
1569.192,1224.315,92.972
1567.786,1222.895,92.889
1566.38,1221.476,92.806
1564.974,1220.056,92.725
1563.567,1218.636,92.645
1562.161,1217.216,92.566
1560.755,1215.796,92.489
1559.348,1214.376,92.412
1557.942,1212.956,92.337
1556.536,1211.536,92.263
1555.13,1210.116,92.191
1553.723,1208.695,92.12
1552.317,1207.275,92.05
1550.911,1205.855,91.981
1549.504,1204.434,91.914
1548.098,1203.014,91.849
1546.692,1201.593,91.785
1545.285,1200.172,91.722
1543.879,1198.752,91.661
1542.473,1197.331,91.601
1541.066,1195.91,91.543
1539.659,1194.49,91.487
1538.253,1193.069,91.432
1536.846,1191.648,91.378
1535.44,1190.227,91.327
1534.033,1188.806,91.277
1532.627,1187.385,91.229
1531.22,1185.964,91.182
1529.813,1184.543,91.138
1528.407,1183.122,91.095
1527,1181.701,91.054
1525.594,1180.279,91.015
1524.187,1178.858,90.977
1522.78,1177.437,90.942
1521.374,1176.016,90.908
1519.967,1174.594,90.876
1518.56,1173.173,90.847
1517.154,1171.751,90.819
1515.747,1170.33,90.794
1514.34,1168.908,90.77
1512.933,1167.487,90.749
1511.527,1166.065,90.729
1510.12,1164.644,90.712
1508.714,1163.222,90.697
1507.307,1161.8,90.684
1505.901,1160.378,90.673
1504.494,1158.957,90.665
1503.087,1157.535,90.659
1501.681,1156.113,90.656
1500.274,1154.691,90.654
1498.867,1153.27,90.655
